Membership No  Date Joined  Active  
    99058      2019-10-21   yes   
    15024      2016-3-1     no    
    97932      2017-6-3     no    
    75001      2016-1-8     no    
    74719      2017-4-23    yes   
    16020      2020-2-19    yes   
    63251      2018-5-14    yes   
    85270      2015-3-10    no    
    42293      2016-8-6     no    
    80230      2017-11-24   yes   
    38235      2015-11-4    yes   
    70784      2015-5-4     no    
    78010      2017-8-19    yes   
    12365      2015-10-1    no    
    83779      2018-9-2     no    
    74538      2015-9-12    yes   
    61126      2017-11-19   yes   
    48180      2020-5-17    no    
    12777      2016-8-1     no    
    81021      2015-2-1     no    
