Membership No  Date Joined  Active  
    63977      2018-5-15    yes   
    80905      2017-10-19   yes   
    66819      2020-1-10    no    
    27849      2020-6-1     yes   
    20893      2020-9-17    yes   
    34537      2016-11-15   no    
    11335      2020-3-7     yes   
    25256      2018-2-6     no    
    70733      2016-10-4    yes   
    48113      2016-5-4     no    
    62426      2018-2-7     yes   
    85927      2018-3-4     no    
    40394      2019-5-17    yes   
    72639      2016-4-25    no    
    20734      2015-10-22   no    
    39543      2019-4-2     no    
    12712      2020-4-24    yes   
    11678      2017-11-23   no    
    75714      2019-8-11    no    
    22821      2016-2-2     no    
